State/UT,2025- Cases,Latitude,Longitude
Andhra Pradesh,6040,15.9129,79.74
Arunachal Pradesh,625,28.218,94.7278
Assam,3816,26.2006,92.9376
Bihar,1536,25.0961,85.3131
Chhattisgarh,78717,21.2787,81.8661
Goa,377,15.2993,74.124
Gujarat,22114,22.2587,71.1924
Haryana,3149,29.0588,76.0856
Himachal Pradesh,98,31.1048,77.1734
Jammu & Kashmir,168,33.7782,76.5762
Jharkhand,57095,23.6102,85.2799
Karnataka,5721,15.3173,75.7139
Kerala,908,10.8505,76.2711
Madhya Pradesh,22279,22.9734,78.6569
Maharashtra,10757,19.7515,75.7139
Manipur,12,24.6637,93.9063
Meghalaya,6394,25.467,91.3662
Mizoram,4296,23.1645,92.9376
Nagaland,113,26.1584,94.5624
Odisha,66311,20.9517,85.0985
Punjab,624,31.1471,75.3412
Rajasthan,5728,27.0238,74.2179
Sikkim,6,27.533,88.5122
Tamil Nadu,3758,11.1271,78.6569
Telangana,1792,18.1124,79.0193
Tripura,13079,23.9408,91.9882
Uttarakhand,409,30.0668,79.0193
Uttar Pradesh,86486,26.8467,80.9462
West Bengal*,26440,22.9868,87.855
Andaman & Nicobar Islands,259,11.7401,92.6586
Chandigarh,44,30.7333,76.7794
Dadra & Nagar Haveli,221,20.1809,73.0169
Daman & Diu,24,20.4283,72.8397
Delhi,473,28.7041,77.1025
Laddakh,0,34.2268,77.5619
Lakshadweep,5,10.5667,72.6417
Pudducherry,54,11.9416,79.8083
Total,429928,,
,429928,,